te,en,hi
<h1>,,
పాఠం 4:,Lesson 4:,पाठ ४:
మొత్తం ఎన్ని?,How Many in Total?,कुल कितने?
,,
సరళ:,Sarala:,सरला:
విజయా!,Vijaya!,विजया!
ఇవి ఏమిటి?,What are these?,ये क्या हैं?
,,
విజయ:,Vijaya:,विजया:
ఇవి బల్లలు.,These are tables/benches.,ये टेबल हैं।
నువ్వు ఈ కుర్చీలో కూర్చో.,Sit in this chair.,तुम इस कुर्सी में बैठो।
,,
సరళ:,Sarala:,सरला:
ఇవి ఎన్ని బల్లలు?,How many tables/bences are these?,ये कितनी टेबल हैं?
,,
విజయ:,Vijaya:,विजया:
ఇవి రెండు బల్లలు.,These are two tables/benches.,ये दो टेबल हैं।
,,
సరళ:,Sarala:,सरला:
ఇవి రెండు బల్లలు.,These are two tables.,ये दो टेबल हैं।
అది ఒక బల్ల.,That is one table.,वह एक टेबल है।
మొత్తం ఎన్ని బల్లలు?,How many tables are in total?,कुल कितनी टेबल हैं?
,,
విజయ:,Vijaya:,विजया:
మొత్తం మూడు బల్లలు.,They are three tables in total.,कुल तीन टेबल हैं।
,,
సరళ:,Sarala:,सरला:
ఈ బల్లలు ఎక్కడ ఉన్నాయి?,Where are these benches?,ये टेबल कहाँ हैं?
,,
విజయ:,Vijaya:,विजया:
గదిలో ఉన్నాయి.,They are in the room.,कमरे में हैं।
అవి ఎన్ని కుర్చీలు?,How many are those chairs?,वे कितनी कुर्सियाँ हैं?
,,
సరళ:,Sarala:,सरला:
అవి మూడు కుర్చీలు.,They are three chairs.,वे तीन कुर्सियाँ हैं।
,,
విజయ:,Vijaya:,विजया:
ఆ కుర్చీలు ఎక్కడ ఉన్నాయి?,Where are those chairs?,वे कुर्सियाँ कहाँ हैं?
,,
సరళ:,Sarala:,सरला:
ఆ కుర్చీలు గోడ దగ్గర ఉన్నాయి.,Those chairs are near the wall.,वे कुर्सियाँ दीवार के पास हैं।
,,
విజయ:,Vijaya:,विजया:
అవి ఏమిటి?,What are they?,वे क्या हैं?
,,
సరళ:,Sarala:,सरला:
ఏవి?,Which ones?,कौनसे?
,,
విజయ:,Vijaya:,विजया:
"ఆ కుర్చీలో ఉన్నాయి, చూడు.","They are in that chair, look.","उस कुर्सी में हैं, देखो।"
,,
సరళ:,Sarala:,सरला:
అవి కలాలు.,They are pens.,वे कलम हैं।
,,
విజయ:,Vijaya:,विजया:
అవి ఎన్ని కలాలు?,How many pens are they?,वे कितनी कलम हैं?
,,
సరళ:,Sarala:,सरला:
అవి నాలుగు కలాలు.,They are four pens.,वे चार कलम हैं।
,,
విజయ:,Vijaya:,विजया:
ఆ పెట్టె మీద ఇంకొక కలం ఉంది.,There is one more pen on that box.,उस डब्बे पर और एक कलम है।
,,
సరళ:,Sarala:,सरला:
ఏ పెట్టె మీద?,On which box?,किस डब्बे पर?
,,
విజయ:,Vijaya:,विजया:
ఈ పెట్టె మీద.,On this box.,इस डब्बे पर।
,,
సరళ:,Sarala:,सरला:
అవును ఆ పెట్టె మీద ఇంకొక కలం ఉంది.,"Yes, there is one more pen on that box.","हाँ, उस डब्बे पर और एक कलम है।"
,,
విజయ:,Vijaya:,विजया:
